Fecha,Temperatura del Aire,Normal Climatica (1980-2010)
1/09/2018,22.81267095,22.46587896
1/10/2018,22.56910476,22.46587896
1/11/2018,22.48819345,22.46587896
1/12/2018,22.55111389,22.46587896
1/01/2019,22.82164641,22.46587896
1/02/2019,23.03740385,22.46587896
1/03/2019,23.06750429,22.46587896
1/04/2019,22.96835946,22.46587896
1/05/2019,22.86864396,22.46587896
1/06/2019,22.74996476,22.46587896
1/07/2019,22.75244539,22.46587896
1/08/2019,22.87307465,22.46587896
1/09/2019,22.8357325,22.46587896
1/10/2019,22.57055183,22.46587896
1/11/2019,22.50397324,22.46587896
1/12/2019,22.57203147,22.46587896
1/01/2020,22.83859374,22.46587896
1/02/2020,23.05979594,22.46587896
1/03/2020,23.0885878,22.46587896
1/04/2020,22.98820686,22.46587896
1/05/2020,22.89039997,22.46587896
1/06/2020,22.76207418,22.46587896
1/07/2020,22.75992437,22.46587896
1/08/2020,22.88417228,22.46587896
1/09/2020,22.84361961,22.46587896
1/10/2020,22.58531492,22.46587896
1/11/2020,22.51233029,22.46587896
1/12/2020,22.58021444,22.46587896
1/01/2021,22.8448729,22.46587896
1/02/2021,23.07381,22.46587896
1/03/2021,23.08488004,22.46587896
1/04/2021,22.98820686,22.46587896
1/05/2021,22.89039997,22.46587896
1/06/2021,22.76207418,22.46587896
1/07/2021,22.75992437,22.46587896
1/08/2021,22.88417228,22.46587896
1/09/2021,22.84361961,22.46587896
1/10/2021,22.58531492,22.46587896
1/11/2021,22.51233029,22.46587896
1/12/2021,22.58021444,22.46587896
