,Elevacion
1859,902
1860,850
1861,747
1862,921
1863,1190
1864,1335
1865,1348
1866,1504
1867,1566
1868,1766
1869,2084
1870,2196
1871,2231
1872,2347
1873,2493
1874,2549
1875,2610
1876,2681
1877,2846
1878,2766
1879,2832
1880,2808
1881,2746
1882,2861
1883,2859
1884,2890
1885,2770
1886,2718
1887,2565
1888,2561
1889,2564
1890,2561
1891,2562
1892,2563
1893,2565
1894,2561
1895,2558
1896,2645
1897,2657
1898,2724
1899,2769
1900,2586
1901,2457
1902,2434
1903,2394
1904,2371
1905,2399
1906,2478
1907,2360
1908,2223
1909,2175
1910,2265
1911,2279
1912,2215
1913,2227
1914,2317
1915,2492
1916,2579
1917,2533
1918,2644
1919,2715
1920,2549
1921,2433
1922,2624
1923,2628
1924,2760
1925,2668
1926,2610
1927,2616
1928,2627
1929,2640
1930,2660
1931,2811
1932,2999
1933,3131
1934,3168
1935,3087
1936,2989
1937,2968
1938,2937
1939,2931
1940,2818
1941,2729
1942,2712
1943,2739
1944,2740
1945,2922
1946,2931
1947,2850
1948,2940
1949,3018
1950,3005
1951,3008
1952,3006
1953,2935
1954,2924
1955,2813
1956,2731
1957,2868
1958,2821
1959,2822
1960,2844
1961,2948
1962,3059
1963,3056
1964,3092
1965,3233
1966,3251
1967,3386
1968,3545
1969,3670
1970,3640
1971,3471
1972,3384
1973,3167
1974,2995
1975,2752
1976,2699
1977,2836
1978,3016
1979,3063
1980,2919
1981,2779
1982,2828
1983,2943
1984,3007
1985,3102
1986,3180
1987,3085
1988,3128
1989,3130
1990,3033
1991,3033
1992,3032
1993,3032
1994,3032
1995,3032
1996,3071
1997,3150
1998,3209
1999,3321
2000,3507
2001,3588
2002,3467
2003,3323
2004,3218
2005,2982
2006,2967
2007,2973
2008,3095
2009,3233
2010,3462
2011,3567
2012,3525
2013,3366
2014,3285
2015,3240
2016,3091
2017,2729
2018,2571
2019,2675
2020,2818
2021,2878
2022,2993
2023,2853
2024,2774
2025,2478
2026,2311
2027,2066
2028,1843
2029,1567
2030,1215
2031,1072
2032,1169
2033,984
2034,1013
2035,1134
2036,1392
2037,1249
2038,1313
2039,1064
2040,1250
2041,1496
2042,1612
2043,1518
2044,1507
2045,1762
2046,1488
2047,1297
2048,1337
2049,1328
2050,1370
2051,1488
2052,1268
2053,1147
2054,773
2055,610
2056,792
2057,1032
2058,864
2059,816
2060,703
2061,670
2062,516
2063,465
2064,490
2065,362
2066,365
2067,323
2068,319
2069,348
2070,417
2071,352
2072,294
2073,345
2074,370
2075,422
2076,365
2077,304
2078,272
2079,270
2080,267
2081,257
2082,246
2083,252
2084,242
2085,246
2086,238
2087,239
2088,236
2089,231
2090,230
2091,227
2092,226
2093,221
2094,219
2095,217
2096,215
2097,210
2098,210
2099,211
2100,1062
2101,881
2102,1109
2103,952
2104,653
2105,880
2106,656
2107,680
2108,634
2109,668
2110,425
2111,758
2112,489
2113,575
2114,565
2115,534
2116,499
2117,445
2118,368
2119,315
2120,282
2121,268
2122,258
2123,238
2124,241
2125,269
2126,244
2127,233
2128,219
2129,206
2130,203
2131,230
2132,205
2133,235
2134,221
2135,203
2136,200
2137,188
2138,188
2139,187
2140,185
2141,184
2142,181
2143,178
2144,184
2145,187
2146,187
2147,240
2148,286
2149,287
2150,412
2151,701
2152,509
2153,350
2154,268
2155,280
2156,484
2157,404
2158,519
2159,384
2160,706
2161,582
2162,493
2163,493
2164,638
2165,552
2166,788
2167,782
2168,704
2169,865
2170,903
2171,986
2172,1326
2173,955
2174,956
2175,782
2176,1040
2177,726
2178,897
2179,920
2180,1172
2181,1390
2182,1304
2183,1493
2184,1654
2185,1588
2186,1511
2187,1678
2188,1378
2189,1481
2190,1633
2191,1489
2192,1446
2193,1357
2194,1273
2195,1069
2196,938
2197,910
2198,935
2199,845
2200,994
2201,641
2202,667
2203,788
2204,816
2205,968
2206,957
2207,617
2208,674
2209,967
2210,954
2211,744
2212,973
2213,1063
2214,1013
2215,1127
2216,1296
2217,1601
2218,1738
2219,1882
2220,2019
2221,2311
2222,2525
2223,2737
2224,2654
2225,2698
2226,2691
2227,2796
2228,2790
2229,2859
2230,2831
2231,2683
2232,2713
2233,2792
2234,2849
2235,2751
2236,2711
2237,2653
2238,2588
2239,2563
2240,2558
2241,2567
2242,2559
2243,2561
2244,2564
2245,2566
2246,2653
2247,2738
2248,2824
2249,2728
2250,2579
2251,2433
2252,2252
2253,2257
2254,2295
2255,2222
2256,2319
2257,2382
2258,2223
2259,2168
2260,2192
2261,2159
2262,2295
2263,2346
2264,2266
2265,2405
2266,2397
2267,2530
2268,2599
2269,2511
2270,2542
2271,2326
2272,2589
2273,2704
2274,2552
2275,2739
2276,2649
2277,2620
2278,2635
2279,2640
2280,2680
2281,2754
2282,2890
2283,3222
2284,3157
2285,3030
2286,2965
2287,2944
2288,2847
2289,2847
2290,2762
2291,2713
2292,2703
2293,2748
2294,2719
2295,2793
2296,2985
2297,2862
2298,2894
2299,2908
2300,3034
2301,2933
2302,2975
2303,2944
2304,2898
2305,2795
2306,2717
2307,2802
2308,2810
2309,2820
2310,2794
2311,2894
2312,2861
2313,3031
2314,3170
2315,3207
2316,3231
2317,3338
2318,3472
2319,3457
2320,3484
2321,3417
2322,3267
2323,3136
2324,3030
2325,2840
2326,2649
2327,2788
2328,2949
2329,3080
2330,3056
2331,2985
2332,2735
2333,2822
2334,2938
2335,3052
2336,3118
2337,3089
2338,3045
2339,3050
2340,3033
2341,3033
2342,3033
2343,3032
2344,3034
2345,3032
2346,3032
2347,3217
2348,3239
2349,3417
2350,3514
2351,3578
2352,3485
2353,3378
2354,3201
2355,3127
2356,3042
2357,2984
2358,3058
2359,3268
2360,3475
2361,3539
2362,3523
2363,3423
2364,3406
2365,3121
2366,2994
2367,2720
2368,2390
2369,2430
2370,2482
