,Elevacion
1527,1689
1528,1737
1529,1750
1530,1568
1531,1565
1532,1474
1533,1394
1534,1168
1535,1215
1536,1157
1537,1044
1538,1261
1539,1449
1540,1187
1541,1170
1542,1167
1543,1240
1544,1201
1545,1109
1546,1038
1547,1135
1548,1059
1549,802
1550,721
1551,629
1552,552
1553,567
1554,667
1555,685
1556,861
1557,903
1558,837
1559,859
1560,855
1561,897
1562,828
1563,810
1564,838
1565,900
1566,848
1567,808
1568,861
1569,853
1570,858
1571,833
1572,837
1573,815
1574,765
1575,645
1576,757
1577,651
1578,633
1579,593
1580,600
1581,661
1582,599
1583,602
1584,629
1585,622
1586,605
1587,564
1588,580
1589,647
1590,593
1591,547
1592,540
1593,540
1594,569
1595,588
1596,532
1597,540
1598,547
1599,609
1600,637
1601,552
1602,549
1603,500
1604,547
1605,467
1606,539
1607,527
1608,495
1609,506
1610,460
1611,428
1612,369
1613,388
1614,433
1615,428
1616,380
1617,316
1618,343
1619,352
1620,300
1621,283
1622,321
1623,321
1624,280
1625,283
1626,289
1627,201
1628,225
1629,221
1630,184
1631,219
1632,140
1633,166
1634,108
1635,120
1636,98
1637,111
1638,97
1639,102
1640,116
1641,134
1642,124
1643,118
1644,140
1645,123
1646,118
1647,118
1648,97
1649,117
1650,91
1651,99
1652,113
1653,112
1654,117
1655,138
1656,147
1657,125
1658,117
1659,114
1660,129
1661,120
1662,103
1663,111
1664,96
1665,123
1666,113
1667,98
1668,105
1669,107
1670,115
1671,124
1672,130
1673,95
1674,100
1675,115
1676,91
1677,91
1678,98
1679,90
1680,99
1681,88
1682,84
1683,98
1684,89
1685,93
1686,92
1687,79
1688,83
1689,94
1690,82
1691,76
1692,78
1693,87
1694,83
1695,85
1696,89
1697,88
1698,91
1699,81
1700,81
1701,84
1702,80
1703,77
1704,79
1705,82
1706,82
1707,84
1708,82
1709,83
1710,89
1711,114
1712,132
1713,128
1714,101
1715,90
1716,119
1717,103
1718,120
1719,108
1720,110
1721,112
1722,103
1723,102
1724,91
1725,104
1726,103
1727,118
1728,105
1729,115
1730,123
1731,97
1732,94
1733,91
1734,114
1735,98
1736,109
1737,112
1738,93
1739,100
1740,106
1741,106
1742,109
1743,119
1744,122
1745,111
1746,124
1747,117
1748,114
1749,117
1750,926
1751,1041
1752,1185
1753,1550
1754,1880
1755,2129
1756,1968
1757,1624
1758,1739
1759,1292
1760,1114
1761,1446
1762,1583
1763,1617
1764,1860
1765,2260
1766,2233
1767,2049
1768,2123
1769,1781
1770,1471
1771,1307
1772,1135
1773,1022
1774,1091
1775,1294
1776,1632
1777,2128
1778,2372
1779,2520
1780,2563
1781,2360
1782,2494
1783,2707
1784,2743
1785,2818
1786,2807
1787,2694
1788,2745
1789,2664
1790,2636
1791,2614
1792,2468
1793,2289
1794,2371
1795,2375
1796,2467
1797,2519
1798,2563
1799,2475
1800,2381
1801,2375
1802,2376
1803,2410
1804,2331
1805,2265
1806,2215
1807,2172
1808,2188
1809,2134
1810,2128
1811,2207
1812,2199
1813,2202
1814,2187
1815,2046
1816,2003
1817,1998
1818,1894
1819,1766
1820,1728
1821,1736
1822,1723
1823,1722
1824,1712
1825,1666
1826,1591
1827,1502
1828,1410
1829,1532
1830,1516
1831,1470
1832,1415
1833,1382
1834,1529
1835,1685
1836,1848
1837,1997
1838,1736
1839,1529
1840,1372
1841,1136
1842,1177
1843,1385
1844,1597
1845,1727
1846,1690
1847,1642
1848,1741
1849,1781
1850,1852
1851,1771
1852,1735
1853,1430
1854,1124
1855,1070
1856,1098
1857,941
1858,953
1859,709
1860,570
1861,659
1862,892
1863,873
1864,994
1865,1321
1866,1371
1867,1644
1868,1564
1869,1486
1870,1511
1871,1577
1872,1438
1873,1534
1874,1557
1875,1599
1876,1606
1877,1650
1878,1622
1879,1569
1880,1500
1881,1424
1882,1506
1883,1450
1884,1191
1885,1095
1886,1267
1887,1049
1888,1108
1889,1216
1890,1271
1891,1207
1892,1116
1893,1106
1894,1129
1895,1173
1896,1039
1897,984
1898,1004
1899,739
1900,768
1901,650
1902,556
1903,578
1904,663
1905,647
1906,847
1907,937
1908,912
1909,840
1910,761
1911,899
1912,868
1913,839
1914,783
1915,840
1916,806
1917,805
1918,840
1919,857
1920,822
1921,765
1922,771
1923,795
1924,666
1925,664
1926,711
1927,719
1928,628
1929,667
1930,651
1931,669
1932,601
1933,647
1934,644
1935,624
1936,595
1937,574
1938,575
1939,535
1940,569
1941,579
1942,544
1943,591
1944,599
1945,583
1946,548
1947,555
1948,524
1949,554
1950,526
1951,514
1952,514
1953,506
1954,533
1955,472
1956,536
1957,537
1958,488
1959,469
1960,485
1961,482
1962,410
1963,388
1964,461
1965,446
1966,427
1967,404
1968,403
1969,322
1970,305
1971,357
1972,319
1973,296
1974,312
1975,241
1976,250
1977,251
1978,256
1979,216
1980,200
1981,226
1982,212
1983,210
1984,211
1985,172
1986,112
1987,101
1988,101
1989,105
1990,118
1991,93
1992,94
1993,122
1994,105
1995,124
1996,125
1997,107
1998,93
1999,98
2000,101
2001,101
2002,108
2003,111
2004,112
2005,133
2006,147
2007,139
2008,132
2009,116
2010,111
2011,108
2012,106
2013,100
2014,91
2015,90
2016,114
2017,114
2018,99
2019,107
2020,93
2021,100
2022,116
2023,115
2024,112
2025,107
2026,110
2027,100
2028,93
2029,87
2030,87
2031,94
2032,81
2033,96
2034,103
2035,114
2036,89
2037,86
2038,92
2039,92
2040,89
2041,80
2042,91
2043,87
2044,75
2045,77
2046,75
2047,79
2048,83
2049,81
2050,84
2051,81
2052,82
