CODIGO,CATEGORIA,NOMBRE,MUNICIPIO,DEPARTAMENTO,AO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
26110190,PM,La Herradura ,Bolívar,Valle del Cauca,9,951,-76.2,4.32,50.2,55.6,92.1,125.8,127.3,79.8,62.6,47.8,90.3,111.4,123.4,76.5,1042.8
54030020,PM,Naranjal,Bolívar,Valle del Cauca,9,1179,-76.35,4.36,43,55,64.5,97.4,98.3,55.8,43.8,39.6,69.9,124,132.4,70,893.7
53115010,PM,Aeropuerto Buenaventura,Buenaventura,Valle del Cauca,9,28,-76.99,3.82,418.6,289,389,528.7,606.4,532.4,577.4,666.2,792,822.1,714.3,591,6927.1
53090040,PM,El Tigre ,Buenaventura,Valle del Cauca,9,21,-77.07,3.68,301.9,266.7,306.7,502,726.8,541.4,526.5,583.6,760.9,890.3,752.3,547.7,6706.8
54070030,PM,Malaguita,Buenaventura,Valle del Cauca,9,13,-77.21,4.17,471.1,321.6,355.4,454.6,638.2,620.3,687.6,774,810.2,791.5,729.4,670.9,7324.8
53090030,PM,Silva,Buenaventura,Valle del Cauca,9,31,-77.21,3.48,414,308.9,318.4,504.8,721.8,593.7,590.2,708.9,777.5,817.2,799.9,579,7134.3
53080010,PM,Yurumanguí San António,Buenaventura,Valle del Cauca,9,21,-77.26,3.26,701.8,567,625.6,826,897.5,825.7,780.6,798,904.3,954.1,850.5,813.8,9544.9
26100370,PM,Bugalagrande,Bugalagrande,Valle del Cauca,9,942,-76.15,4.22,69.6,73.3,118.3,167.3,143.5,87,77.2,70.3,117,158.9,153.6,102.1,1338.1
26100770,PM,Ceilán,Bugalagrande,Valle del Cauca,9,1382,-76.04,4.11,101.5,113.4,180,195.8,153.2,88,71.3,70,121.2,242.5,210.7,154.1,1701.7
26100410,PM,Galicia,Bugalagrande,Valle del Cauca,9,1191,-76.06,4.17,86.5,109.1,177,208.9,166,71.1,70,76.1,128.4,194.8,200.7,130,1618.6
26100070,PM,Hacienda Lucerna ,Bugalagrande,Valle del Cauca,9,964,-76.15,4.22,60.6,62.2,108.9,161.5,133.2,73.6,69.5,53.4,102.3,151.8,144.4,88.1,1209.5
26120120,PM,La Camelía ,Caicedonia,Valle del Cauca,9,1240,-75.83,4.33,121,117.3,179.9,213.5,186.9,101.5,69.3,74.3,138.5,248.1,239.1,159.8,1849.2
26100830,PM,Palmasola,Cartago,Valle del Cauca,9,940,-75.96,4.69,81.2,89.9,133.3,179.1,171.9,105.9,102.7,98.2,131,158.3,141.6,89.7,1482.8
26120600,PM,Piedras de Moler,Cartago,Valle del Cauca,9,1100,-75.93,4.72,94.8,88.6,171.9,223.5,212.5,138.3,98.9,102.6,159.4,197.6,203,109.7,1800.8
53110020,PM,Cisneros,Dagua,Valle del Cauca,9,368,-76.76,3.78,157.7,129.7,154.9,197.9,184.8,106.9,107.2,105.2,176.8,306.3,276.3,192.6,2096.3
53110030,PM,Providencia,Dagua,Valle del Cauca,9,1601,-76.72,3.63,72.3,63.5,81.6,144.9,153,102.7,78.6,75.5,94.1,132.9,152.6,89.3,1241
53100040,PM,Queremal,Dagua,Valle del Cauca,9,1523,-76.71,3.53,84.4,81.4,100.4,133.5,140.7,83.8,65.7,66,96.8,155.6,165.4,119.3,1293
26110200,PM,El Granario ,El Águila,Valle del Cauca,9,1813,-76.05,4.88,148,166.1,217,271.7,269.3,178.3,148,122.5,183.5,263,291.9,191.6,2450.9
54030160,PM,El Cairo ,El Cairo,Valle del Cauca,9,1850,-76.22,4.77,102.1,92.5,144.4,191.8,159.3,114.8,101.8,102.1,154,217.2,240,154.9,1774.9
26090510,PM,Auji,El Cerrito,Valle del Cauca,9,1555,-76.1,3.63,74.3,68.7,86.7,107,87.6,41.4,26.9,25.2,57.1,130.2,134.5,90,929.6
26090520,PM,El Castillo ,El Cerrito,Valle del Cauca,9,1424,-76.2,3.67,164,138.1,198.2,227.8,132.6,65.2,37.3,50.9,124.5,253.3,276.5,190,1858.4
26090460,PM,El Paraíso ,El Cerrito,Valle del Cauca,9,1305,-76.2,3.65,116.1,118.6,170.8,183.6,117.1,63.7,34,44.4,117.5,217.8,243.6,157,1584.2
26090560,PM,La Ceja ,El Cerrito,Valle del Cauca,9,3052,-76.02,3.72,101.3,87.8,126.8,126.5,107.6,59.4,59.5,48.9,65.6,146.7,184.4,131.6,1246.1
26095080,CO,Tenerife,El Cerrito,Valle del Cauca,9,2628,-76.07,3.73,94.7,80.4,125.1,138.2,111.2,55.6,38.3,43.8,73.5,169.2,158.5,134,1222.5
54030110,PM,El Bosque ,El Dovio,Valle del Cauca,9,1561,-76.15,4.68,89.8,96.7,166.7,221.8,200.5,122.1,114.2,105,152.8,203.9,192.8,116.7,1783
54030140,PM,La María ,El Dovio,Valle del Cauca,9,1376,-76.27,4.52,52.9,67.2,85.8,153.2,131.4,100.2,51.7,50.8,84.9,132.1,132.9,55.3,1098.4
54030030,PM,Lituania,El Dovio,Valle del Cauca,9,1196,-76.35,4.5,83.4,69.7,80.9,115.8,126.7,65.5,51.2,54.1,97.1,207.9,192,94.8,1239.1
26075110,ME,La Diana,Florida,Valle del Cauca,9,1626,-76.19,3.31,137.7,98,137.2,160.7,116.5,49.2,31.5,30.8,84.3,203.6,222.4,135.8,1407.7
26070610,PM,La Soledad,Florida,Valle del Cauca,9,2160,-76.17,3.37,190.7,125.8,207.8,191.6,153.1,71.8,56.3,40.3,99.7,278.4,304.8,199,1919.3
26090550,PM,La Patagonia,Guacarí,Valle del Cauca,9,1950,-76.22,3.83,188.6,180.1,270.2,342,285.5,178.5,138.7,125.7,177.7,301.9,306.8,229.3,2725
26090790,PG,Acueducto Buga,Guadalajara de Buga,Valle del Cauca,9,1178,-76.27,3.88,71,72,122,145.4,107.6,59.2,44.9,57.3,92.4,139.8,135,85.2,1131.8
26090580,PM,Dosquebradas,Guadalajara de Buga,Valle del Cauca,9,2074,-76.18,3.92,138.2,112.4,176.7,226.3,182.7,101.6,69.6,77,123.3,247.8,212.8,158.9,1827.3
26090530,PM,El Diluvio ,Guadalajara de Buga,Valle del Cauca,9,2360,-76.15,3.88,160.9,162.8,218.5,273.4,222.1,121.6,92.8,74.4,142.3,293.5,280.8,177.8,2220.9
